title,#,author,reviewer,reviewer link,reviewer ID,editor (internal use),isbn,hide_ibooks,book_seamus_id,author_seamus_id,review_seamus_id,tags,genre (internal use),text,random numbers
"Lawrence In Arabia: War, Deceit, Imperial Folly And The Making Of The Modern Middle East",101,Scott Anderson,Deb Amos,http://www.npr.org/people/2100182/deborah-amos,"correspondent, International Desk",Nicole,038553292X,TRUE,209569546,209573091,,"NPR Staff Picks, Science & Society, For History Lovers, Rather Long, Tales From Around The World    ",Nonfiction,"<p>After covering daily news from Syria for more than two years, there are times I read history as a guide to the outcome: In the Middle East, it’s bad, and Scott Anderson’s book tells us why.</p>
<p>It’s a group biography that weaves the stories of legendary British officer T.E. Lawrence, who played a key role in the Arab revolt against the Ottoman Turks during World War I; German Curt Prufer, who conspired with the Ottomans; Zionist agronomist Aaron Aaronsohn, who made the desert bloom; and American oil company representative William Yale, who spied for the State Department. Yale is the least accomplished character, but the hapless American gives Anderson the grist to deliver his verdict on U.S. policy then and now. Analyzing a muddled dispatch Yale sent to Washington, Anderson writes: “He was establishing a tradition of fundamentally misreading the situation in the Middle East that his successors in the American intelligence community would rigorously maintain for the next 95 years.” This is a book about muddling and meddling. It couldn’t come at a better time.</p>",
Eleanor & Park,153,Rainbow Rowell,Linda Holmes,http://www.npr.org/people/93702353/linda-holmes,"blogger, Monkey See",Nicole,1250012570,,190377730,,223738674,"NPR Staff Picks, Young Adult, Love Stories, The Dark Side, Family Matters",YA,"<em>Eleanor & Park</em> is a book about two teenagers who fall in love. But more than that, it's about feeling lost &mdash; because of bullying, because of abuse, because of race &mdash; and feeling loved. It captures the pure, visceral thrill of a high school swoon, but it never forgets that those feelings are real and important. Rowell's willingness to portray real ugliness and real pain means that when Eleanor and Park are daring to hope for something wonderful for themselves, the stakes feel enormous. It's called a young adult book, and indeed, it's a fine thing to give a sensitive kid. But there's nothing unsophisticated or less than serious about this empathetic, beautifully rendered novel.",
The Maid's Version: A Novel,17,Daniel Woodrell,Lynn Neary,http://www.npr.org/people/2100948/lynn-neary,"correspondent, Arts Desk",Rose,0316205850,,207393405,218591578,207392723,"NPR Staff Picks, Realistic Fiction, For History Lovers, Seriously Great Writing, The Dark Side, Rather Short, Family Matters, Book Club Ideas, Historical Fiction, Rather Short",Fiction,"Daniel Woodrell is best-known for dark tales of the Ozarks (think <em>Winter's Bone</em>). This book, also set in the Ozarks, is a fictional account of an explosion and fire at a dance hall in 1929 in the town where Woodrell's family is from. Many of the characters are based on real people, including the maid who was inspired by Woodrell's own grandmother. In her version of the events that led to the fire, the rules of class that govern the town and the passion of illicit love prove to be a dangerous and deadly combination. This is a short book, but Woodrell's writing makes you want to slow down and savor a story told by a master.",
How We Do It: The Evolution And Future Of Human Reproduction,103,Robert Martin,Alison Richards ,http://www.npr.org/people/2101074/alison-richards,"senior editor, Science Desk",Nicole,0465030157,,243264821,,,"NPR Staff Picks, Science & Society, Eye-Opening Reads, It’s All Geek To Me, Let's Talk About Sex, Family Matters, For History Lovers",Nonfiction,"This is one of the best books about sex, and having babies, you’re likely to read. I’m not saying ignore the <em>Kama Sutra</em>, <em>What to Expect</em> or even <em>Fifty Shades Of Grey.</em> But if you want to know things like why men have nipples or why it takes a quarter of a <em>billion</em> sperm cells to fertilize <em>one</em> human egg, you should take this white-knuckle ride back through evolutionary time, across continents, into science labs and around your most private parts. It will make you laugh. Your jaw will drop. And the sight of the mismatch between the lives we lead and the bodies we live in will start you thinking.",0.696337587
Ancillary Justice,129,Ann Leckie,Annalee Newitz,http://www.techsploitation.com/,"author of <em>Scatter, Adapt and Remember: How Humans Will Survive a Mass Extinction</em>",Petra,031624662X,,230177228,,228508903,"Science Fiction & Fantasy, It’s All Geek To Me",Science Fiction/Fantasy,"In this thrilling and complex first novel from Ann Leckie, we plunge into a world of astro-political intrigue. Our hero is on a vendetta to destroy the rulers of a colonial empire that destroyed her starship – but as we read, this typical space opera plot turns into a rich story about how imperialism transforms civilizations as well as the most private thoughts of the individuals in them. We find that our ninjalike hero is actually the fragment of a hive mind that once controlled a starship, and her mission has its roots in a political conflict that stretches back 1,000 years. Come for the page-turning action, and stay for the astonishing character development and world building that will leave you in awe.",
Men We Reaped: A Memoir,74,Jesmyn Ward,Luis Clemens,http://www.npr.org/people/132632865/luis-clemens,"senior editor, Code Switch",Nicole,160819521X,,221711068,225389656,221024438,"NPR Staff Picks, Biography & Memoir, Science & Society, The Dark Side, Eye-Opening Reads, Family Matters, Seriously Great Writing, Book Club Ideas",Memoir,"<p>Jesmyn Ward writes to keep her heart from exploding. <em>Men We Reaped,</em> an accounting of the deaths, in four years, of five men close to her, is beautifully written and gut-wrenchingly sad.</p> <p>""Grief doesn't fade,"" she writes. ""Grief scabs over like my scars and pulls into new, painful configurations as it knits. It hurts in new ways.""</p> <p>Ward writes about her dead brother and dead friends with loving detail: their eyes, their smiles and the color of their skin. Her writing revives the dead men and allows them to speak from beyond the grave: “Hello. We are here. Listen.”</p>",
Mr. Wuffles!,181,David Wiesner ,Becky Hersher,,<em>Weekend All Things Considered</em> staff,Beth,0618756612,,244518576,,,"Kids' Books, Funny Stuff, NPR Staff Picks",Preschool,"You might know David Wiesner from his slightly off-kilter picture books about strange happenings. In his Caldecott winner, <em>Tuesday,</em> an otherwise normal day turns strange when frogs begin to fly through the air on lily pads. His latest book, <em>Mr. Wuffles,</em> is similarly surreal. At the beginning, we meet Mr. Wuffles the cat. He lives in a normal house &mdash; wood floors, striped wallpaper &mdash; but behind the radiator, a small spaceship full of little green aliens has crash-landed. Wiesner tells the story of Mr. Wuffles and the aliens without words. The illustrations are intricate and often funny, as the aliens plot to outwit the cat and escape out the window. Very young readers will pore over the pictures, and any child with a cat will never see the family pet in quite the same way again. (For ages 4 to 8)",
Thank You for Your Service,89,David Finkel,Bilal Qureshi,,<em>All Things Considered</em> staff,Rose ,0374180660,,224505598,224493078,,"NPR Staff Picks, Science & Society, Eye-Opening Reads, The Dark Side, Book Club Ideas, Family Matters",Nonfiction,"Award-winning journalist David Finkel’s book <em>Thank You For Your Service</em> is a startlingly intimate and moving portrait of the “after-war” &mdash; the enduring emotional wounds of battle for those who’ve returned from America’s wars in Afghanistan and Iraq. Finkel has covered those wars from the front lines for <em>The Washington Post,</em> but here he embeds in the suburban homes and broken families of soldiers living with the ghosts of those battles. There have been many articles about post-traumatic stress disorder and the broken state of mental health care for veterans. But in Finkel’s beautifully written and deeply empathetic book, those issues become individual lives and families, impossible to forget.",
The Interestings,25,Meg Wolitzer,Barrie Hardymon,,<em>Weekend Edition</em> staff,Rose,1594488398,,174952767,176170086,176794175,"Realistic Fiction,Rather Long, Family Matters, Book Club Ideas, NPR Staff Picks",Fiction,"It’s hard to write well about modern friendship &mdash; as hard, perhaps, as it is to nurture one. Meg Wolitzer’s latest &mdash; and probably finest &mdash; follows a group of friends who meet at arts camp in upstate New York, and go on to a mixture of great successes and minor failures. The characters remain friends for the rest of their lives, and the nature of those friendships and how they ebb and flow within those successes and failures are the novel’s most striking achievement. What does it mean to covet a beloved friend’s accomplishment, and to really envy his success? Wolitzer writes convincingly about teenagers, and who they become as grown-ups. And she really captures that magical period where all teenagers thought they would grow up to be as special as they were the night of the school play &mdash; only to find that life is less exciting, and more interesting (ha!) than they even thought.",
Book Of Ages: The Life And Opinions Of Jane Franklin,3,Jill Lepore,Michael Schaub,http://www.npr.org/people/151841337/michael-schaub,book critic,Beth/Tanya,0307958345,,231432338,,231431080,"Biography & Memoir, For History Lovers, Eye-Opening Reads, Book Club Ideas, Family Matters, Rather Long",Biography,"It’s probably not an exaggeration to say that most Americans aren’t even aware that Founding Father Benjamin Franklin had a sister at all. But Jane Franklin Mecom and her older brother were frequent correspondents, and though she didn’t have her brother’s education, it’s undeniable that she shared his brilliance and impatience with lazy thinking. Author Jill Lepore does an admirable job of reconstructing the life of a woman who could have been doomed to obscurity -- and in learning about Jane, we learn more about Ben and the country he helped build. <em>Book of Ages</em> is an endlessly fascinating look at the sometimes tragic, always spirited life of one of early America’s most interesting women.",
"Love Is Power, Or Something Like That: Stories",145,A. Igoni Barrett,Ofeibea Quist-Arcton,http://www.npr.org/people/4513318/ofeibea-quist-arcton,"correspondent, International Desk",Nicole,1555976409,,246425488,,186503457,"NPR Staff Picks, Tales From Around The World, Poetry & Short Stories, Love Stories, Rather Short, Seriously Great Writing",Short stories,"<em>Love Is Power, Or Something Like That</em> &mdash; a collection of arresting stories by A. Igoni Barrett &mdash; is so much more than its lyrical language, delicious detail and author’s love of English &mdash; Nigerian English and English English. A born storyteller, this young writer melds contemporary Nigeria &mdash; Africa's most populous nation and arguably the continent's most bewitching &mdash; with age-old wisdom. Is Barrett a modern-day sage? His prose may shock and startle; but with anguish, violence and cruelty comes compassion.  Barrett artfully captures humanity in these nine tales, adding layers to characters as memorable as Scrooge and <a href=”http://www.npr.org/books/titles/138261444/things-fall-apart” target=""_blank"">Okonkwo</a>.  A friend gobbled it up in one sitting &mdash; through the night.  A scrumptious read.",
